timestamp,market_trend,market_breadth,market_cycle,market_volatility,y_binary,prob_lr,prob_xgb,prob_lgb
2020-04-29,1.0073336415516363,-0.6997434438273397,1.973929556380246,-0.388238223380777,1,0.8294770014181124,0.7183554768562317,0.7127422509559572
2020-05-04,1.1305134263698724,-0.5839071992931997,1.973929556380246,-0.2074330962274098,1,0.8413598282339668,0.8535248637199402,0.9008329572134345
2020-05-05,0.8110682249357527,-0.6246202698044184,1.973929556380246,-0.0990245270904249,1,0.8125675167125583,0.7183554768562317,0.7127422509559572
2020-05-06,0.92915384398808,-0.5613342701348718,1.7682461794992883,-0.272054133448266,1,0.8110873486451912,0.7183554768562317,0.7146939992990873
2020-05-07,1.2974566575173352,-0.5011032354943923,1.5981377647806323,-0.1449981137814137,1,0.8424473036857625,0.8275517821311951,0.9016830242713784
2020-05-08,1.5096112730374869,-0.3902171353636602,1.973929556380246,-0.178483841933714,1,0.8695620723573203,0.8589197397232056,0.907380568481834
2020-05-11,1.673329655738568,-0.2809309618158588,1.973929556380246,-0.13226518745428,1,0.8903865328972569,0.9466503858566284,0.93086653538328
2020-05-12,1.9569427355072049,-0.1734259089714649,1.973929556380246,-0.0758787654316507,1,0.9070045456968947,0.9353790879249573,0.93086653538328
2020-05-13,2.155894514442516,-0.0152662063291447,1.973929556380246,-0.099983343213524,1,0.9152391956712729,0.9322882890701294,0.9298990933295623
2020-05-14,2.155894514442516,0.0911025480657154,1.9734028296358228,-0.1435037139861783,1,0.9128999191750139,0.9162631630897522,0.9180688436015657
2020-05-15,2.155894514442516,0.1457458232411974,1.92691291577532,-0.0510599570754186,1,0.9115757881905635,0.9099411368370056,0.9087525447963424
2020-05-18,1.8269656226886524,-0.0043388368028618,1.5895154639355065,0.050498231414368,1,0.8847987427494605,0.8834447860717773,0.8072911642060436
2020-05-19,1.944521758755894,0.0010274518330484,1.7717648357677676,-0.1086040360620178,1,0.8966199919022826,0.9096502065658569,0.9180688436015657
2020-05-20,2.02723914685175,0.1098953103136675,1.5582907628291098,-0.0455392958752821,1,0.8940736545921143,0.8576253056526184,0.8072911642060436
2020-05-21,2.041191839158809,0.3220303058066556,1.261663090400886,0.0215597492153197,1,0.8815590270145944,0.9052808880805969,0.8863400558954158
2020-05-22,2.006967240336419,0.4285694601416565,1.1931257248413218,0.1135471360203972,1,0.8751670582335254,0.9052808880805969,0.9020790704179847
2020-05-25,1.7548822856861488,0.1725586585197896,0.8236511032287762,0.2170361081363143,1,0.8483768255374962,0.9052808880805969,0.8962621930411229
2020-05-26,1.950414357063712,0.7499120619067448,1.188151627440582,0.1143564141159989,1,0.8619850939668535,0.9030661582946777,0.8994026893636489
2020-05-27,2.155894514442516,0.907164738749738,1.1949213461674604,0.0934805634829525,1,0.8744629924861446,0.9067482948303223,0.8970574403261424
2020-05-28,1.872493308157019,0.6991163550005396,0.5412264729764216,-0.0077574458983026,1,0.8274121818045979,0.9030661582946777,0.8992683244586237
2020-05-29,1.8202054938583945,0.7003472549118063,0.1169135258596283,-0.1950140030634364,1,0.7977864475470082,0.8205676674842834,0.7681717337438132
2020-06-01,1.8270982409793095,0.7009015472450978,0.0226832052707828,-0.026252003569865,1,0.7969046443980664,0.8205676674842834,0.7681717337438132
2020-06-02,2.0351377651019966,1.0124074204583495,0.2374763888426166,0.0836196582228102,1,0.8211724119369638,0.8353718519210815,0.7895640221618845
