date,price_for_regime,market_return,regime_label,bull_probability,bear_probability,expected_return
2020-05-04,110.20765007438293,-0.01317367530994333,Bull Market,0.07633746451653146,0.9236625354834685,-0.00379913850441868
2020-05-05,110.74854283452854,0.0048959373662867955,Bull Market,0.9999987795093174,1.2204906826502573e-06,0.002343984102286809
2020-05-06,112.54060023107472,0.01605179589350753,Bull Market,0.9867620439563418,0.013237956043658138,0.0022559487065258624
2020-05-07,113.7016116542974,0.010263527794172741,Bull Market,0.9999922427889799,7.757211020031514e-06,0.0023439406276128927
2020-05-08,114.71283669924787,0.008854358022203059,Bull Market,0.9999979554445186,2.0445554814241327e-06,0.002343978621564587
2020-05-11,116.40558283291472,0.014648563330995264,Bull Market,0.9994825512690508,0.0005174487309492152,0.002340550751423754
2020-05-12,118.34635026381642,0.016535000357679408,Bull Market,0.9933061079361485,0.006693892063851516,0.002299472221824748
2020-05-13,119.08812172747866,0.006248240794196054,Bull Market,0.9999997141133187,2.8588668125120573e-07,0.00234399031818746
2020-05-14,119.00935194189944,-0.0006616600104069655,Bull Market,0.9999995976392447,4.023607552948911e-07,0.0023439895435371574
2020-05-15,117.6355475182393,-0.011610813167069306,Bull Market,0.830354827899633,0.16964517210036695,0.001215709509307408
2020-05-18,118.63333400515948,0.008446244907425298,Bull Market,0.9999987816682883,1.2183317117213673e-06,0.0023439841166457767
2020-05-19,119.5131337523096,0.007388761698340386,Bull Market,0.9999993392956341,6.607043659015287e-07,0.0023439878253354216
2020-05-20,120.0495175232396,0.00447803248466015,Bull Market,0.9999997252075429,2.7479245713635156e-07,0.0023439903919733576
2020-05-21,120.33398437564097,0.0023667762799366257,Bull Market,0.9999997555423827,2.4445761724841596e-07,0.002343990593725491
2020-05-22,119.3477836366584,-0.008229297645161582,Bull Market,0.9986185600426355,0.0013814399573645756,0.002334804484963489
2020-05-25,120.86487645867808,0.012631415785613645,Bull Market,0.9999624538122042,3.754618779586798e-05,0.00234374250592728
2020-05-26,123.16451465557236,0.01884778110314375,Bull Market,0.747996558964865,0.252003441035135,0.0006679579303141326
